銘柄名,市場・商品区分,33業種区分,17業種区分
ＡＢ＆Ｃｏｍｐａｎｙ,グロース（内国株式）,サービス業,情報通信・サービスその他 
ラストワンマイル,グロース（内国株式）,サービス業,情報通信・サービスその他 
スローガン,グロース（内国株式）,サービス業,情報通信・サービスその他 
ラバブルマーケティンググループ,グロース（内国株式）,サービス業,情報通信・サービスその他 
サクシード,グロース（内国株式）,サービス業,情報通信・サービスその他 
ＹＣＰホールディングス（グローバル）リミテッド　ＪＤＲ,グロース（外国株式）,サービス業,情報通信・サービスその他 
ＣＳ－Ｃ,グロース（内国株式）,サービス業,情報通信・サービスその他 
タカヨシ,グロース（内国株式）,サービス業,情報通信・サービスその他 
西本Ｗｉｓｍｅｔｔａｃホールディングス,プライム（内国株式）,卸売業,商社・卸売 
シルバーライフ,スタンダード（内国株式）,小売業,小売 
ビジョナリーホールディングス,スタンダード（内国株式）,小売業,小売 
ポエック,スタンダード（内国株式）,卸売業,商社・卸売 
ヤマシタヘルスケアホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 
Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,プライム（内国株式）,小売業,小売 
オプティマスグループ,スタンダード（内国株式）,卸売業,商社・卸売 
バリュエンスホールディングス,グロース（内国株式）,卸売業,商社・卸売 
和心,グロース（内国株式）,小売業,小売 
ブティックス,グロース（内国株式）,サービス業,情報通信・サービスその他 
コーア商事ホールディングス,プライム（内国株式）,卸売業,商社・卸売 
ＫＰＰグループホールディングス,プライム（内国株式）,卸売業,商社・卸売 
ナルミヤ・インターナショナル,スタンダード（内国株式）,小売業,小売 
ブックオフグループホールディングス,プライム（内国株式）,小売業,小売 
ギフトホールディングス,プライム（内国株式）,小売業,小売 
三菱倉庫,プライム（内国株式）,倉庫・運輸関連業,運輸・物流 
三井倉庫ホールディングス,プライム（内国株式）,倉庫・運輸関連業,運輸・物流 
住友倉庫,プライム（内国株式）,倉庫・運輸関連業,運輸・物流 
澁澤倉庫,プライム（内国株式）,倉庫・運輸関連業,運輸・物流 
ヤマタネ,プライム（内国株式）,卸売業,商社・卸売 
